Марка автомобиля;полное;частичное
Chevrolet NIVA;50760.36;43045.27358490566
Datsun on-DO;19854.350000000002;25208.509090909094
Hyundai Creta;87303.60882352942;103349.24761904763
Hyundai Solaris;46232.365;48232.588073394494
KIA Rio;37916.4693877551;48788.38046875
KIA Sportage;98454.16;130363.49677419354
Lada 4x4;45834.04705882353;52521.1
Lada Granta;25897.63103448276;20782.431756756756
Lada Kalina;30373.67692307692;29572.26153846154
Lada Largus;20492.575;22938.08448275862
Lada Vesta;50511.020454545454;45482.61388888889
Lada X-Ray;41080.358064516135;42171.17727272728
Mazda CX-5;108513.15;86759.92222222222
Nissan Qashqai;97686.75555555556;82481.948
Nissan X-Trail;75505.84;79930.0125
Renault Duster;50753.222727272725;46801.031818181815
Renault Kaptur;94397.06666666667;67451.475
Renault Logan;19503.827272727274;22374.465909090908
Renault Sandero;55302.13684210527;55473.69111111111
Skoda Octavia A7;46460.1375;87929.63023255813
Skoda Rapid;54460.78095238095;43637.7
Toyota Camry;98042.67894736842;113306.615625
Toyota RAV 4;92820.75172413794;90548.47462686567
VW Polo;52109.67727272727;49016.68
VW Tiguan;95637.0625;98630.84193548387
