Марка автомобиля;полное;частичное
Chevrolet NIVA;244576.02857142856;128491.475
Datsun on-DO;120408.4;25000.0
Hyundai Creta;597430.1666666666;468619.57
Hyundai Solaris;155870.0;137860.60952380951
KIA Rio;217259.65714285715;184104.29
KIA Sportage;686017.65;462098.75999999995
Lada 4x4;190309.5;81402.94444444444
Lada Granta;95806.59999999999;105066.825
Lada Kalina;225773.6;53523.9
Lada Largus;90406.6;140043.2
Lada Vesta;243804.85;184507.69090909092
Lada X-Ray;142922.3;166652.04
Mazda CX-5;702828.95;0.0
Nissan Qashqai;0.0;504177.95
Nissan X-Trail;424927.69999999995;512893.0
Renault Duster;175344.6;191712.03333333333
Renault Kaptur;750000.0;177553.225
Renault Logan;85802.23333333332;132129.2
Renault Sandero;54265.4;205006.48
Skoda Octavia A7;0.0;290692.875
Skoda Rapid;97867.05;216664.7
Toyota Camry;580013.45;771062.475
Toyota RAV 4;427353.26666666666;794834.2
VW Polo;174475.6;146516.9111111111
VW Tiguan;495716.57999999996;541652.0666666667
